# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -62 0 10758 2 23080948090614171 1 ./index.html-accion=ver_lang=_importancia=1_catid=15_idelemento=95.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 36 0 10768 2 7318349395314365 1 ./index.html-accion=ver_lang=_importancia=1_catid=15_idelemento=102.html
DUPTYPE_WITHIN_SAME_TREE -36 0 10768 2 27584547717984964 1 ./index.html-accion=ver_lang=_importancia=1_catid=15_idelemento=102.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1019 1 10814 2 67553994410817835 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=145.html
DUPTYPE_WITHIN_SAME_TREE -1019 1 10814 2 41095346600081880 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=145.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 230 0 10891 2 4503599628208086 1 ./index.html-catid=35_accion=b_tarot.html
DUPTYPE_WITHIN_SAME_TREE -230 0 10891 2 52917295621948740 1 ./index.html-catid=35_accion=b_tarot.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1033 1 10950 2 84442493013458778 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=48.html
DUPTYPE_WITHIN_SAME_TREE -1033 1 10950 2 180988410025289567 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=48.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 843 1 11046 2 130041439240579709 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=106.html
DUPTYPE_WITHIN_SAME_TREE -843 1 11046 2 14636698789250188 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=106.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 877 1 11048 2 238972255227604539 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=140.html
DUPTYPE_WITHIN_SAME_TREE -877 1 11048 2 18014398509778058 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=140.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 218 0 11159 2 5348024558340051 1 ./index.html-catid=35_accion=a_nombres_test.html
DUPTYPE_WITHIN_SAME_TREE -218 0 11159 2 372954344141971319 1 ./index.html-catid=35_accion=a_nombres_test.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1041 1 11257 2 36591746972647588 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=54.html
DUPTYPE_WITHIN_SAME_TREE -1041 1 11257 2 16325548649556282 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=54.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1045 1 11309 2 90071992547672759 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=64.html
DUPTYPE_WITHIN_SAME_TREE -1045 1 11309 2 54887620458916265 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=64.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 602 0 11388 2 9288674232289854 1 ./index.html-catid=35_g=_b=_idpregunta=4_idrespuesta=4_accion=a_nombres_responder.html
DUPTYPE_WITHIN_SAME_TREE -602 0 11388 2 30680772461959900 1 ./index.html-catid=35_g=_b=_idpregunta=4_idrespuesta=4_accion=a_nombres_responder.html.clean.html
